"","Country","long","lat","Pageviews","Sessions","Users","new.users","Code"
"1","Afghanistan",67.58450436,34.94098469,4,2,401,386,"AFG"
"2","Albania",20.10925138,41.09708418,13,9,68,68,"ALB"
"3","Algeria",1.780595463,29.22807761,64,22,6,6,"DZA"
"4","Andorra",1.563245209,42.52996445,1,1,6,6,"AND"
"5","Angola",17.42233321,-10.83500226,4,3,6,4,"AGO"
"6","Argentina",-65.45939025,-37.65934036,778,312,5,4,"ARG"
"7","Armenia",45.23304247,40.21092062,44,18,4,4,"ARM"
"8","Australia",136.9985434,-25.18299682,3233,995,3,2,"AUS"
"9","Austria",13.47336569,47.5797319,505,189,3,2,"AUT"
"10","Azerbaijan",46.85409565,40.1969167,54,20,3,3,"AZE"
"12","Bahrain",50.54970668,26.05096186,159,27,NA,NA,"BHR"
"13","Bangladesh",90.50611804,23.50905166,457,131,NA,NA,"BGD"
"14","Barbados",-59.54626762,13.16099728,5,3,NA,NA,"BRB"
"15","Belarus",28.11758542,53.53241178,180,73,NA,NA,"BLR"
"16","Belgium",4.73210363,50.59062728,2024,715,NA,NA,"BEL"
"17","Belize",-88.46050086,17.4219472,14,3,NA,NA,"BLZ"
"18","Bermuda",-64.76533985,32.30740881,8,2,NA,NA,"BMU"
"19","Bolivia",-65.12439571,-16.55725037,31,14,NA,NA,"BOL"
"20","Botswana",24.58467561,-22.52343706,1,1,NA,NA,"BWA"
"21","Brazil",-55.28056799,-9.80237464,3180,973,NA,NA,"BRA"
"22","Brunei",114.7803373,4.5481698,12,6,NA,NA,"BRN"
"23","Bulgaria",24.96409571,42.62485704,155,60,NA,NA,"BGR"
"24","Cambodia",105.1177878,12.59715426,44,20,NA,NA,"KHM"
"25","Cameroon",13.01387305,6.260679265,9,8,NA,NA,"CMR"
"26","Canada",-89.7561759,65.2931221,9760,2278,NA,NA,"CAN"
"27","Cayman Islands",-80.43169975,19.57615429,4,1,NA,NA,"CYM"
"28","Chile",-72.31060275,-44.84064492,333,106,NA,NA,"CHL"
"29","China",106.8475748,35.08243544,749,426,NA,NA,"CHN"
"30","Colombia",-72.76286862,3.471104794,1627,624,NA,NA,"COL"
"31","Costa Rica",-84.03993753,9.756016839,315,72,NA,NA,"CRI"
"32","Croatia",16.34878586,44.64204021,94,31,NA,NA,"HRV"
"33","Cyprus",33.35030769,35.06383926,63,24,NA,NA,"CYP"
"34","Denmark",10.73125458,55.70473306,743,253,NA,NA,"DNK"
"35","Dominica",-61.36119995,15.4371829,2,2,NA,NA,"DMA"
"36","Dominican Republic",-70.50557947,18.82517881,124,19,NA,NA,"DOM"
"37","Ecuador",-81.62440596,-1.643067241,139,43,NA,NA,"ECU"
"38","Egypt",30.7931736,27.67630098,228,94,NA,NA,"EGY"
"39","El Salvador",-88.81602921,13.85065639,91,25,NA,NA,"SLV"
"40","Estonia",24.59475612,58.53493858,56,24,NA,NA,"EST"
"41","Ethiopia",38.95897232,9.187706951,19,9,NA,NA,"ETH"
"42","Fiji",79.500827,-17.67122438,1,1,NA,NA,"FJI"
"43","Finland",24.43022351,63.95119465,396,131,NA,NA,"FIN"
"44","France",3.226979203,46.16686105,5363,2234,NA,NA,"FRA"
"45","French Polynesia",-142.7811185,-15.44285314,7,2,NA,NA,"PYF"
"47","Georgia",43.87005076,42.06423494,18,8,NA,NA,"GEO"
"48","Germany",10.40115606,51.20460855,4079,1615,NA,NA,"DEU"
"49","Ghana",-1.058992702,8.3212724,80,43,NA,NA,"GHA"
"50","Greece",23.94053688,38.35875267,362,154,NA,NA,"GRC"
"51","Grenada",-61.70316823,12.09856224,34,4,NA,NA,"GRD"
"53","Guam",144.773173,13.42947197,3,1,NA,NA,"GUM"
"54","Guatemala",-90.19992291,15.58532815,66,17,NA,NA,"GTM"
"55","Guernsey",-2.560030801,49.47854451,8,2,NA,NA,"GGY"
"56","Guinea",-10.71775324,10.1163041,2,1,NA,NA,"GIN"
"57","Guyana",-15.39243066,11.67114348,3,1,NA,NA,"GUY"
"58","Haiti",-58.80467014,4.375519414,3,1,NA,NA,"HTI"
"59","Honduras",-72.7552356,18.94252896,59,14,NA,NA,"HND"
"60","Hong Kong",-86.24214581,14.76328478,1500,539,NA,NA,"HKG"
"61","Hungary",19.42393128,47.23226487,186,91,NA,NA,"HUN"
"62","Iceland",-19.86729002,65.30841881,52,30,NA,NA,"ISL"
"63","India",83.51400315,23.39336982,11048,4514,NA,NA,"IND"
"64","Indonesia",119.475746,-2.996080521,1662,524,NA,NA,"IDN"
"65","Iran",53.15067347,33.29490975,5,5,NA,NA,"IRN"
"66","Iraq",44.58861231,33.78998017,32,17,NA,NA,"IRQ"
"67","Ireland",-8.439389414,53.49476024,1080,437,NA,NA,"IRL"
"68","Israel",35.21034702,31.87650005,462,163,NA,NA,"ISR"
"69","Italy",11.75285266,42.16598249,2205,828,NA,NA,"ITA"
"70","Jamaica",-77.27983809,18.11665042,77,16,NA,NA,"JAM"
"71","Japan",135.2923836,35.47392831,5610,1649,NA,NA,"JPN"
"72","Jersey",-2.099582248,49.20955912,23,16,NA,NA,"JEY"
"73","Jordan",36.74692806,31.32931372,43,19,NA,NA,"JOR"
"74","Kazakhstan",65.83003321,47.90227476,92,39,NA,NA,"KAZ"
"75","Kenya",37.70937666,0.578422532,77,44,NA,NA,"KEN"
"76","Kosovo",20.85703799,42.58538145,23,13,NA,NA,"KSV"
"77","Kuwait",47.81516852,29.44597717,117,33,NA,NA,"KWT"
"78","Kyrgyzstan",73.15708298,40.91947045,15,7,NA,NA,"KGZ"
"79","Laos",103.7959383,18.43688928,16,3,NA,NA,"LAO"
"80","Latvia",25.36948449,56.86747881,97,34,NA,NA,"LVA"
"81","Lebanon",35.96915479,33.84132478,44,24,NA,NA,"LBN"
"82","Lesotho",28.19965878,-29.67713576,4,1,NA,NA,"LSO"
"83","Liberia",-9.085661744,6.990589564,2,1,NA,NA,"LBR"
"84","Libya",17.69401283,28.18599549,1,1,NA,NA,"LBY"
"85","Liechtenstein",9.547135544,47.14267527,1,1,NA,NA,"LIE"
"86","Lithuania",24.08004029,55.08303816,116,41,NA,NA,"LTU"
"87","Luxembourg",6.06234933,49.76263187,92,19,NA,NA,"LUX"
"88","Malaysia",110.8603312,3.9691909,858,352,NA,NA,"MYS"
"89","Maldives",73.46672162,3.812659816,5,2,NA,NA,"MDV"
"90","Mali",-5.378225531,14.84703169,1,1,NA,NA,"MLI"
"91","Malta",14.37084973,35.96162701,32,12,NA,NA,"MLT"
