Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Accepted Terms and Condition (Goal 1 Conversion Rate),Accepted Terms and Condition (Goal 1 Completions),Accepted Terms and Condition (Goal 1 Value),Pageviews
Norway,401,386,719,38.11%,4.62,0:02:44,0.00%,0,$0.00,114
United States,68,68,68,95.59%,1.12,0:00:12,0.00%,0,$0.00,195
United Arab Emirates,6,6,6,83.33%,1.33,0:00:02,0.00%,0,$0.00,138
India,6,6,6,50.00%,4.33,0:02:53,0.00%,0,$0.00,78
Nigeria,6,4,26,26.92%,2.69,0:04:33,0.00%,0,$0.00,37
(not set),5,4,7,71.43%,1.43,0:00:06,0.00%,0,$0.00,139
Italy,4,4,4,100.00%,1,0:00:00,0.00%,0,$0.00,208
Germany,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00,208
Netherlands,3,2,3,33.33%,2,0:00:13,0.00%,0,$0.00,310
Oman,3,3,3,100.00%,1,0:00:00,0.00%,0,$0.00,618
,,,,,,,,,,204
,,,,,,,,,,247
,,,,,,,,,,136
,,,,,,,,,,280
,,,,,,,,,,100
,,,,,,,,,,70
,,,,,,,,,,121
,,,,,,,,,,119
,,,,,,,,,,33
,,,,,,,,,,43
,,,,,,,,,,89
,,,,,,,,,,72
,,,,,,,,,,36
,,,,,,,,,,72
